5bde1e8	Daniel Oliva Bianco	2016-03-18 15:21:06 -0300	prop file
f25dde0	Daniel Oliva Bianco	2016-03-18 15:16:11 -0300	save
e62f66e	Sebastian Dimunzio	2016-03-18 15:00:24 -0300	removing extra main class
2d655b0	Daniel Oliva Bianco	2016-03-18 14:49:14 -0300	Add service module
f735c42	Daniel Oliva Bianco	2016-03-18 14:28:02 -0300	Improve db queries
16e7589	Daniel Oliva Bianco	2016-03-18 10:00:10 -0300	Add lazy initialization
536c4d9	Daniel Oliva Bianco	2016-03-18 09:41:54 -0300	Fix to get provinces and municipalities
2a719c5	Sebastian Dimunzio	2016-03-18 00:58:44 -0300	Merge pull request #20 from devgateway/map_layers
11daf55	Sebastian Dimunzio	2016-03-18 00:57:28 -0300	adding draft popup
b15ff54	Sebastian Dimunzio	2016-03-17 22:41:32 -0300	Fixies applied after mergin
18c85f3	Sebastian Dimunzio	2016-03-17 22:05:34 -0300	Merge branch 'master' into map_layers
9583219	Sebastian Dimunzio	2016-03-17 18:35:56 -0300	Merge pull request #19 from devgateway/filters
961de38	mbertoli	2016-03-17 18:32:12 -0300	Merge branch 'master' into filters
4d4e1aa	Sebastian Dimunzio	2016-03-17 18:28:07 -0300	Merge pull request #18 from devgateway/modeling
2e981ab	Sebastian Dimunzio	2016-03-17 18:23:20 -0300	Project points
eb88943	mbertoli	2016-03-17 18:05:25 -0300	Some filter styles
81efc50	Daniel Oliva Bianco	2016-03-17 17:55:15 -0300	Create filters for project controller
e6798d2	mbertoli	2016-03-17 15:03:38 -0300	Merge branch 'modeling' into filters
7d11cfd	mbertoli	2016-03-17 15:02:38 -0300	Filter tree
7bda0f8	Daniel Oliva Bianco	2016-03-17 14:28:20 -0300	Add support for lazy objects
0614596	Daniel Oliva Bianco	2016-03-16 17:46:31 -0300	Add date filters and transaction data to GeoJsonController
c677a61	Sebastian Dimunzio	2016-03-16 15:41:34 -0300	more work with geojson layer
22c6eed	mbertoli	2016-03-15 17:30:18 -0300	Merge branch 'map_layers' into filters
c7d9b65	mbertoli	2016-03-15 17:23:13 -0300	N/A
b81571e	Sebastian Dimunzio	2016-03-15 17:14:54 -0300	more updates
a2bfa9b	Sebastian Dimunzio	2016-03-15 16:53:16 -0300	Loading project geodata from the api using the new connector added COR support to the API
98c2745	Sebastian Dimunzio	2016-03-15 16:20:10 -0300	no message
4fa97d4	mbertoli	2016-03-15 16:10:22 -0300	Merge branch 'map_layers' into filters
e2bf3e9	Sebastian Dimunzio	2016-03-15 16:04:15 -0300	Merge pull request #17 from devgateway/modeling
1495ecf	Sebastian Dimunzio	2016-03-15 16:02:23 -0300	Merge pull request #16 from devgateway/map_layers
fc43533	mbertoli	2016-03-15 16:01:46 -0300	N/A
25e95bd	Sebastian Dimunzio	2016-03-15 15:38:53 -0300	Graphic layer  + api connector
9491380	Daniel Oliva Bianco	2016-03-15 15:07:44 -0300	Add one more filter (status) to GeoJson locations
a3d0782	Sebastian Dimunzio	2016-03-15 11:43:08 -0300	Project Point layers in progress
0e31c38	mbertoli	2016-03-15 11:24:51 -0300	partial commit for merge
57dfa30	Daniel Oliva Bianco	2016-03-14 22:21:20 -0300	Add filters to geojson controller
52dc3a1	Sebastian Dimunzio	2016-03-14 14:19:30 -0300	default connector
dbc33c5	Sebastian Dimunzio	2016-03-14 12:59:07 -0300	Default api connector
4d385f8	Sebastian Dimunzio	2016-03-14 09:39:38 -0300	Merge remote-tracking branch 'origin/master' into map_layers
a265129	Sebastian Dimunzio	2016-03-14 09:33:37 -0300	Adding extend
0c22bdc	Sebastian Dimunzio	2016-03-14 09:29:40 -0300	Merge pull request #14 from devgateway/modeling
2738c9f	mbertoli	2016-03-11 15:24:29 -0300	Merge branch 'master' into filters
bfa2747	mbertoli	2016-03-11 15:12:01 -0300	test
c78e21f	Daniel Oliva Bianco	2016-03-11 14:51:15 -0300	First version for GeoJson endpoint http://localhost:8090/geodata/1/projects working
78244b5	Sebastian Dimunzio	2016-03-11 10:01:57 -0300	Merge pull request #15 from devgateway/map_layers
c62ca49	Sebastian Dimunzio	2016-03-11 10:00:37 -0300	no message
88a50d0	Sebastian Dimunzio	2016-03-11 09:55:36 -0300	Merge branch 'master' of https://github.com/devgateway/geoph
